domain_name,domain_registration_date,nexus_category
edny.nyc,2014-10-08T15:00:17.000,ORG
benbria.nyc,2014-10-09T14:02:52.000,ORG
ori.nyc,2014-10-08T16:21:36.000,INDIV
slaymedia.nyc,2017-04-18T16:46:50.000,INDIV
gothamconsulting.nyc,2014-12-22T20:36:11.000,INDIV
samsara.nyc,2015-07-31T17:13:06.000,INDIV
combatclub.nyc,2018-02-24T01:13:58.000,INDIV
buddha.nyc,2014-10-03T15:51:39.000,INDIV
cruxcpa.nyc,2018-02-24T20:00:49.000,INDIV
laughteryoga.nyc,2016-06-13T14:41:57.000,ORG
dragos.nyc,2017-01-04T02:27:12.000,INDIV
ny-4-vein.nyc,2015-12-16T05:51:56.000,ORG
twm.nyc,2016-10-07T22:41:05.000,ORG
upperwestexpress.nyc,2015-04-15T20:45:07.000,ORG
adelphi.nyc,2014-10-03T15:38:51.000,ORG
kenney.nyc,2018-02-24T02:29:31.000,INDIV
whiz.nyc,2016-06-16T23:22:22.000,INDIV
noircar.nyc,2015-05-30T22:14:34.000,ORG
combatsportsclub.nyc,2018-02-24T01:14:02.000,INDIV
usambulette.nyc,2015-11-25T17:13:38.000,ORG
bwd.nyc,2016-03-29T17:58:47.000,INDIV
tommyjohn.nyc,2014-10-03T15:55:34.000,ORG
liveshow.nyc,2014-11-11T01:28:09.000,INDIV
prelicensingcourse.nyc,2015-05-08T11:51:52.000,ORG
key.nyc,2018-02-24T02:42:03.000,INDIV
maids.nyc,2016-10-09T18:49:00.000,INDIV
newyorkacupuncture.nyc,2014-10-03T15:52:30.000,INDIV
hiphop.nyc,2016-10-03T17:09:27.000,ORG
arteaga.nyc,2017-02-13T04:38:35.000,ORG
mama.nyc,2016-02-29T18:24:19.000,ORG
spg.nyc,2014-10-15T08:00:02.000,ORG
marissa.nyc,2014-10-08T19:45:16.000,INDIV
cedricjones.nyc,2015-04-22T21:59:20.000,ORG
crimmins.nyc,2015-05-29T12:51:57.000,INDIV
danimc.nyc,2014-10-08T15:00:40.000,INDIV
thebronxtoday.nyc,2014-10-03T15:32:50.000,ORG
erental.nyc,2014-11-24T19:41:59.000,INDIV
timbuktea.nyc,2014-11-07T15:36:24.000,INDIV
bestphotographer.nyc,2014-10-03T15:35:10.000,ORG
webvision.nyc,2015-01-02T20:53:33.000,INDIV
camerarepair.nyc,2015-05-19T23:42:39.000,ORG
greeninbrooklyn.nyc,2014-10-31T21:14:58.000,INDIV
youmna.nyc,2015-02-06T00:01:52.000,ORG
specialoccasions.nyc,2015-04-13T18:44:26.000,ORG
geezer.nyc,2014-10-08T15:00:43.000,INDIV
smallhotels.nyc,2014-10-08T15:01:29.000,INDIV
myfemaleplasticsurgeon.nyc,2016-01-19T20:32:08.000,INDIV
bellucci.nyc,2014-10-19T04:54:09.000,INDIV
constructionliens.nyc,2014-10-09T15:30:29.000,ORG
lfaa.nyc,2016-03-16T22:27:22.000,INDIV
106.nyc,2015-12-10T16:33:54.000,INDIV
charcoal.nyc,2016-01-20T15:31:29.000,INDIV
oliviacipolla.nyc,2015-01-07T14:15:04.000,ORG
conservancy.nyc,2018-02-24T15:46:51.000,ORG
demsker.nyc,2014-10-08T15:00:25.000,ORG
mybeautiful.nyc,2017-02-22T18:01:27.000,ORG
suki.nyc,2017-06-07T20:00:13.000,INDIV
truockcabeht.nyc,2017-04-15T02:44:41.000,ORG
eddie.nyc,2015-12-26T18:36:17.000,ORG
csnetwork.nyc,2015-01-28T18:52:16.000,ORG
legit.nyc,2016-09-13T21:31:16.000,ORG
sparren.nyc,2014-12-03T21:57:09.000,ORG
hankypanky.nyc,2014-06-20T15:12:20.000,ORG
doha.nyc,2014-11-12T23:49:12.000,INDIV
