agency,agency_name,brief_description,call_resolution,date,date_time,inquiry_name,time,unique_id
DOB,Department of Buildings,Report blocked or inadequate building exits or fire escapes.,Information Provided,2013-01-24T00:00:00.000,2013-01-24T23:56:50.000,Building Exit Blocked - Priority,11:56:50 PM,90493489
HPD,Department of Housing Preservation and Development,Report of a housing maintenance problem.,Information Provided,2013-01-25T00:00:00.000,2013-01-25T00:03:16.000,Landlord Complaint - Maintenance,12:03:16 AM,90493490
3-1-1,3-1-1 Call Center,Status of most Service Requests filed with 311.,Routed to Web Page,2013-01-25T00:00:00.000,2013-01-25T00:06:20.000,Service Request Status - General,12:06:20 AM,90493491
NYPD,New York City Police Department,Report a noisy neighbor.,CSMS SR,2013-01-25T00:00:00.000,2013-01-25T00:10:48.000,Noise from Neighbor,12:10:48 AM,90493492
NYPD,New York City Police Department,Report smoke or fumes. Requires immediate transfer to 911.,Hot Transfer 911,2013-01-25T00:00:00.000,2013-01-25T00:14:36.000,Smoke or Fumes,12:14:36 AM,90493493
NYPD,New York City Police Department,Report a noisy neighbor.,CSMS SR,2013-01-25T00:00:00.000,2013-01-25T00:16:20.000,Noise from Neighbor,12:16:20 AM,90493494
DOB,Department of Buildings,"Report a fence that is over the height limit, missing, or not secured.",Information Provided,2013-01-25T00:00:00.000,2013-01-25T00:22:25.000,Fence Complaint,12:22:25 AM,90493495
HPD,Department of Housing Preservation and Development,Report of a housing maintenance problem.,Information Provided,2013-01-25T00:00:00.000,2013-01-25T00:28:20.000,Landlord Complaint - Maintenance,12:28:20 AM,90493496
NYPD,New York City Police Department,Report a noisy neighbor.,CSMS SR,2013-01-25T00:00:00.000,2013-01-25T00:36:25.000,Noise from Neighbor,12:36:25 AM,90493497
NYPD,New York City Police Department,Report an alarm in progress. Requires immediate transfer to 911.,Hot Transfer 911,2013-01-25T00:00:00.000,2013-01-25T00:40:02.000,Alarm In Progress,12:40:02 AM,90493498
HPD,Department of Housing Preservation and Development,Report of a housing maintenance problem.,Information Provided,2013-01-25T00:00:00.000,2013-01-25T00:41:25.000,Landlord Complaint - Maintenance,12:41:25 AM,90493499
DSNY,Department of Sanitation,Report that a sidewalk is unclean.,Information Provided,2013-01-25T00:00:00.000,2013-01-25T00:49:37.000,Dirty Sidewalk,12:49:37 AM,90493500
DSNY,Department of Sanitation,"Request for sign or regulation change, or for street cleaning on a new block.",Information Provided,2013-01-25T00:00:00.000,2013-01-25T00:51:36.000,Alternate Side Parking Change Request,12:51:36 AM,90493501
HPD,Department of Housing Preservation and Development,Report of a housing maintenance problem.,Information Provided,2013-01-25T00:00:00.000,2013-01-25T00:51:41.000,Landlord Complaint - Maintenance,12:51:41 AM,90493502
DOB,Department of Buildings,"Report a boiler that is defective, not working, has no permit, or is not registered.",Information Provided,2013-01-25T00:00:00.000,2013-01-25T00:54:29.000,Boiler Defective or Without Permit,12:54:29 AM,90493503
