address,agency,allowable_building_to_floor_area,assess_land,bin,bldg_depth,bldg_front,block,boro,bsmt_code,census_block,census_tract,commercial_floor_area,community_district,condominium_number,contact,coordinates,council_district,current_uses,date_created,e_designation_number,edc___occupied,exempt_land,exempt_tot,factory_floor_area,fire_comp,garage_floor_area,govt_clean_up_program,health_area,health_ctr,his_dist,industrial_business_zone,irr_lot_code,land_use_category,landmark,latitude,longitude,lot,lot_depth,lot_front,lot_type_code,major_use,map_atlas,nta,num_floors,number_of_easements,number_structures,office_floor_area,open_petroleum_spill,other_floor_area,overlay_1,overlay_2,parcel_name,pluto_version,police_prct,potential_urban_ag,proximity_code,ratio_building_to_floor_area,residential_and_non_residential_units,residential_floor_area,residential_units,retail_floor_area,school_dist,sp_dist_1,sp_dist_2,storage_floor_area,structure_completed,total_area,total_gross_area_structures,year_alter_1,year_alter_2,zip_code,zone_dist_1,zone_dist_2
MARGINAL STREET,"DOT, DSBS",0,18818100,,210,268,2,1,5,1019,9,280000,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0980682/0194465,1,"FERRY TERMINAL, WATERFRONT PROPERTY, NO USE",2013-12-11T00:00:00.000,,0,18818100,28818505,0,L015,0,,,,,,Y,7,WHITEHALL FERRY TERMINAL,,,1,564.42,709.42,5,Y7,4,,5,0,2,0,Yes,280000,,,BATTERY MARITIME BLDG / FERRY,13v1,1,,0,1.34,0,0,0,0,2,LM,,0,1900,209215,280000,2006,0,10004,M1-4,
PIER 6,DSBS,10,15255450,1075697,551,85,2,1,5,1017,9,24346,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0981722/0194752,1,"NO USE, FINAL COMMITMNT-DISP, IN USE-TENANTED, LONG-TERM AGREEMENT",2013-12-11T00:00:00.000,,0,15255450,19034100,0,L015,0,,,,,,Y,7,,40.701481,-74.009171,23,551,793.67,5,T2,4,Battery Park City-Lower Manhattan                                          ,2,0,1,0,,24346,,,PIER 6,13v1,1,,0,0.05,0,0,0,0,2,LM,,0,1987,510025,24346,0,0,10004,C4-6,
BATTERY PARK,PARKS,0,127100700,1000000,57,89,3,1,0,2005,13,945425,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0979905/0195360,1,PARK,2013-12-11T00:00:00.000,,0,127100700,128720250,0,E010,0,,,,,,Y,9,CASTLE CLINTON,40.70288,-74.015523,1,1260,323,1,Q1,4,park-cemetery-etc-Manhattan                                                ,1,0,5,0,,945425,,,BATTERY PARK,13v1,1,,1,1,4,0,0,0,2,,,0,1951,945425,945425,0,0,10004,PARK,
PETER MINUIT PLAZA,PARKS,0,4913100,1085598,0,0,3,1,5,,,0,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,1,PARK,2013-12-11T00:00:00.000,,0,4913100,4913100,0,,0,,,,,,Y,9,,40.702153,-74.013146,2,76,496,1,Q1,4,Battery Park City-Lower Manhattan                                          ,0,0,0,0,,0,,,PETER MINUIT PLAZA/BATTERY PK,13v1,1,,0,0,0,0,0,0,2,,,0,0,39900,0,0,0,10004,PARK,
PETER MINUIT PLAZA,PARKS,0,3935250,1085598,0,0,3,1,0,1020,9,0,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0980586/0195007,1,PARK,2013-12-11T00:00:00.000,,0,3935250,3935250,0,L015,0,,,,,,Y,9,,40.702153,-74.013146,3,370,180,1,Q1,4,Battery Park City-Lower Manhattan                                          ,0,0,1,0,,0,,,PETER MINUIT PLAZA/BATTERY PK,13v1,1,,1,0,1,0,0,0,2,,,0,0,33600,0,0,0,10004,PARK,
24 SOUTH STREET,PARKS,0,23193450,1000000,0,0,6,1,5,1017,9,0,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0981520/0195226,1,PARK,2013-12-11T00:00:00.000,,0,23193450,23193450,0,L015,0,,,,,,Y,9,,40.702198,-74.009702,1,349.33,234.67,5,Q9,4,Battery Park City-Lower Manhattan                                          ,0,1,0,0,,0,,,VIETNAM VETERANS PLAZA,13v1,1,,0,0,0,0,0,0,2,,,0,0,35166,0,0,0,10004,PARK,
WHITEHALL STREET,PARKS,0,5562000,,0,0,12,1,5,2012,13,0,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0980463/0196129,1,PARK,2013-12-11T00:00:00.000,,0,5562000,5562000,0,L015,0,,,,,,Y,9,BOWLING GREEN FENCE,,,28,140,200,1,Q1,4,,0,0,0,0,,0,,,BOWLING GREEN PARK,13v1,1,,0,0,0,0,0,0,2,,,0,0,22500,0,0,0,10004,PARK,
22 BATTERY PLACE,DSBS,10,3253500,1085492,323,40,16,1,0,4001,317.04,28732,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0979259/0195801,1,"FERRY TERMINAL, WATERFRONT PROPERTY, NO USE, FINAL COMMITMNT-DISP, IN USE-TENANTED, LONG-TERM AGREEMENT",2013-12-11T00:00:00.000,,0,3253500,6781500,0,L015,0,,,,,,Y,7,,40.705136,-74.01772,1,293,77,5,Y7,4,Battery Park City-Lower Manhattan                                          ,3,0,1,0,,28732,,,PIER A / MARINE UNIT #1,13v1,1,,1,0.35,1,0,0,0,2,LM,,0,1910,83100,28732,2012,0,10280,C6-4,
MARGINAL STREET,PARKS,0,3547166,,0,0,16,1,5,,,0,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0000000/0000000,1,"PARK, IN USE-TENANTED, SHORT-TERM AGREEMENT",2013-12-11T00:00:00.000,,0,3547166,3547166,0,,0,,,,,,Y,,,,,12,975,239.33,5,Z6,4,,0,0,0,0,,0,,,BATTERY PARK CITY,13v1,1,,0,0,0,0,0,0,2,,,0,0,237948,0,0,0,0,M2-3,
25 WEST STREET,DCAS,10,10197000,1088913,165,116,17,1,5,2004,13,112000,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0980024/0196908,1,GARAGE,2013-12-11T00:00:00.000,,0,0,0,0,E010,0,,,,,,Y,7,,40.706745,-74.016021,45,179.35,389.14,3,T9,4,Battery Park City-Lower Manhattan                                          ,8,0,1,0,,112000,,,BROOKLYN BATTERY TUNNEL GARAGE,13v1,1,,0,1.66,1,0,1,0,2,LM,,0,1967,67342,112000,0,0,10006,C6-9,
56 GREENWICH STREET,DCAS,10,33021900,1078977,176,249,18,1,5,2006,13,193026,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0980173/0196697,1,OTHER TRANS FACILITY,2013-12-11T00:00:00.000,,0,0,0,0,E010,2127,,,,,,Y,7,,40.706921,-74.014074,100,176.34,1020.32,5,T9,4,Battery Park City-Lower Manhattan                                          ,7,0,2,0,,190899,,,B'KLYN BATTERY TUNNEL APPROACH,13v1,1,,0,1.05,1,0,0,0,2,LM,,0,1949,183456,193026,0,0,10004,C6-9,C5-5
65 GREENWICH STREET,NYCTA,10,3150,1000795,70.75,8,19,1,5,2003,13,0,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0980450/0196898,1,OTHER TRANS FACILITY,2013-12-11T00:00:00.000,,0,3150,4050,0,E010,0,,,,,,Y,,,40.707047,-74.013984,8,70.75,1,3,Z9,4,Battery Park City-Lower Manhattan                                          ,1,0,1,0,,0,,,PORTION OF BK BATTER TUNNEL,13v1,1,Not Suitable 2 - Site is smaller than 2500 square feet,0,0,1,0,0,0,2,LM,,0,0,71,0,0,0,10006,C5-5,
55 BROADWAY,NYPD,10,6165000,1000807,201,79,20,1,2,2009,13,309381,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0980640/0196803,1,AGCY OFFICE,2013-12-11T00:00:00.000,,0,0,0,0,E010,0,,,,,,Y,5,,40.706638,-74.012631,16,201,79,3,O3,4,Battery Park City-Lower Manhattan                                          ,31,0,1,298081,,0,,,NYPD,13v1,1,,2,19.68,41,0,0,11300,2,LM,,0,1983,15722,309381,0,0,10006,C5-5,
61 BROADWAY,OCA,10,15795000,1000808,202,105,21,1,1,2010,13,650740,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0980693/0196892,1,AGCY OFFICE,2013-12-11T00:00:00.000,,0,0,0,0,E010,0,,,,,,Y,5,,40.706995,-74.012335,1,202.17,105.08,3,O3,4,Battery Park City-Lower Manhattan                                          ,33,0,1,648740,,0,,,,13v1,1,,2,29.32,99,0,0,0,2,LM,,2000,1913,22197,650740,1986,0,10006,C5-5,
32 BROADWAY,DCA,10,3375000,1078979,207,53.25,22,1,2,1002,9,143000,101,0,Christian Grove cgrove@dcas.nyc.gov  212 386-0613,0980718/0196417,1,AGCY EXECUTVE OFFICE,2013-12-11T00:00:00.000,,0,0,0,0,L015,0,,,,,,Y,5,,40.706045,-74.013096,17,207,53.25,5,O3,4,Battery Park City-Lower Manhattan                                          ,18,0,1,134940,,0,,,,13v1,1,,0,15.26,0,0,0,8060,2,LM,,0,1900,9372,143000,1966,0,10004,C5-5,
