action,boro,building,camis,critical_flag,cuisine_description,dba,grade,grade_date,inspection_date,inspection_type,phone,record_date,score,street,violation_code,violation_description,zipcode
Violations were cited in the following area(s).,BROOKLYN,209,50060484,Critical,Hawaiian,POKEBAB,A,2017-03-28T00:00:00.000,2017-03-28T00:00:00.000,Pre-permit (Operational) / Initial Inspection,7182188888,2018-03-26T06:00:56.000,11,BEDFORD AVE,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",11211
Violations were cited in the following area(s).,MANHATTAN,1599,41508490,Not Critical,Jewish/Kosher,NARGILA GRILL,A,2016-05-04T00:00:00.000,2016-05-04T00:00:00.000,Cycle Inspection / Re-inspection,2125353700,2018-03-26T06:00:56.000,7,YORK AVENUE,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10028
Violations were cited in the following area(s).,MANHATTAN,81,40585040,Not Critical,Mediterranean,CAFE RAKKA,A,2015-05-27T00:00:00.000,2015-05-27T00:00:00.000,Cycle Inspection / Re-inspection,2129829166,2018-03-26T06:00:56.000,11,ST MARKS PLACE,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,10003
Violations were cited in the following area(s).,BROOKLYN,1511,41444287,Not Critical,American,POP'S RESTAURANT,,,2015-06-02T00:00:00.000,Cycle Inspection / Initial Inspection,7183332880,2018-03-26T06:00:56.000,16,NEPTUNE AVENUE,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",11224
Violations were cited in the following area(s).,BROOKLYN,334,41600223,Critical,Caribbean,FLAVA II,,,2017-03-07T00:00:00.000,Cycle Inspection / Initial Inspection,7186490016,2018-03-26T06:00:56.000,19,NEW LOTS AVENUE,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,11207
Violations were cited in the following area(s).,MANHATTAN,124,41423957,Critical,American,BLOOMS DELICATESSEN AND RESTAURANT,A,2016-11-18T00:00:00.000,2016-11-18T00:00:00.000,Cycle Inspection / Re-inspection,2129223663,2018-03-26T06:00:56.000,11,EAST   40 STREET,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,10016
Violations were cited in the following area(s).,MANHATTAN,30,50002563,Not Critical,Caf̩/Coffee/Tea,BLUESTONE LANE COFFEE,A,2016-05-11T00:00:00.000,2016-05-11T00:00:00.000,Cycle Inspection / Re-inspection,6466843771,2018-03-26T06:00:56.000,2,BROAD,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",10004
Violations were cited in the following area(s).,MANHATTAN,231,50002843,Critical,French,CHERI,,,2015-09-23T00:00:00.000,Cycle Inspection / Initial Inspection,2126621266,2018-03-26T06:00:56.000,16,MALCOLM X BLVD,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,10027
Violations were cited in the following area(s).,MANHATTAN,182,41056164,Not Critical,Italian,CACIO & PEPE,,,2015-03-13T00:00:00.000,Smoke-Free Air Act / Initial Inspection,2125055931,2018-03-26T06:00:56.000,,2 AVENUE,15L,"Smoke free workplace smoking policy inadequate, not posted, not provided to employees.",10003
Violations were cited in the following area(s).,BRONX,78,50044523,Not Critical,American,TEXAS CHICKEN,A,2017-11-14T00:00:00.000,2017-11-14T00:00:00.000,Cycle Inspection / Initial Inspection,3476211031,2018-03-26T06:00:56.000,12,WESTCHESTER SQ,09C,Food contact surface not properly maintained.,10461
