acronym,co2e_mt_calculated,finishdateactual,primaryprojecttype,projectsiteaddress,projectsitename,projectstatus,startdateactual,subtype
BPL,,,HVAC System Upgrade,,,Completed,,
BPL,15.10,28-Sep-12,Lighting System Upgrade,81 Devoe Street,Leonard Branch Library,Completed,09-Apr-12,Retrofit
BPL,11.90,28-Sep-12,Lighting System Upgrade,360 Irving Avenue,Washington Irving Branch Library,Install,14-May-12,Retrofit
BPL,117.07,,Comprehensive,280 Cadman Plaza West,Brooklyn Heights Branch Library,Cancelled,,Retrofit
BPL,135.53,23-Aug-10,Energy Audit,286 Fulton Street,Brooklyn Heights Branch Library,Completed,16-Mar-10,None
BPL,,,Other,280 Cadman Plaza West,Brooklyn Heights Branch Library,Proposed,,Retro-commissioning
BPL,,,Other,280 Cadman Plaza West,Brooklyn Heights Branch Library,Survey,,Retro-commissioning
CUNY,1632.56,,HVAC System Upgrade,2001 Oriental Blvd,Kingsborough Community College,Design,,Retrofit
CUNY,273.65,,HVAC System Upgrade,222-05 56th Avenue,"Queensborough Community College, Medical Arts Building",Install,,Retrofit
CUNY,43.32,,Comprehensive,2065 Oriental Blvd,"Kingsborough Community College, T-2 Building",Design,,Retrofit
CUNY,57.81,,Comprehensive,2111 Oriental Blvd,"Kingsborough Community College, T-2 Building",Design,,Retrofit
,76.48,,Lighting System Upgrade,,,Completed,,
CUNY,2246.61,,HVAC System Upgrade,2155 University Avenue,Bronx Community College - Phase 1 HVAC Upgrade,Design,01-Nov-10,Retrofit
,37.19,,Lighting System Upgrade,,,Completed,,
CUNY,,01-Jun-10,Other,Not applicable,CUNY Solar Mapping Project,,01-Jan-12,None
DCAS,583.63,01-Jun-09,HVAC System Upgrade,1 Centre Street,Manhattan Municipal Building,Completed,01-Apr-09,
DCAS,2060.41,,Comprehensive,,,Design,,Retrofit
DFMC,2151.65,03-Aug-11,Energy Audit,292-360 AdamsSt,Brooklyn Supreme Court,Completed,27-Oct-10,None
