address,borough,latitude,longitude,park_site_name,site_type
E 227 St/Bronx River Pkway,Bronx,40.890848989,-73.864223918,227th St. Plgd,Subproperty
Allerton Ave & Moshulu Pkway,Bronx,40.8488907878,-73.8771283938,Allerton Ballfields,Subproperty
Arthur Ave & 187 St,Bronx,40.85557,-73.887564999999995,Arthur Ave & E 187 St,Outdoor
"895 Shore Road, Pelham Bay Park",Bronx,40.871864,-73.805549,Barstow Mansion,Outdoor 
2001-2017 Bronx Park E,Bronx,40.851889,-73.868549,Bradley Playground,Subproperty
Visitors Service Center,Bronx,40.861525999999998,-73.880658999999994,Bronx Botanical Gardens,Outdoor
Visitors Service Center,Bronx,40.860754999999997,-73.880422999999993,Bronx Botanical Gardens,Outdoor
Visitors Service Center,Bronx,40.859644000000003,-73.880471999999997,Bronx Botanical Gardens,Outdoor
Visitors Service Center,Bronx,40.862602000000003,-73.880171000000004,Bronx Botanical Gardens,Outdoor
161 ST/Grand Concourse,Bronx,40.826939,-73.922314,Bronx County Courthouse,Outdoor
161 ST/Grand Concourse,Bronx,40.826627,-73.922447,Bronx County Courthouse,Outdoor
Lydig Ave & Bronx Park E,Bronx,40.854322,-73.869764,Bronx Park,Outdoor 
Lydig Ave & Bronx Park E,Bronx,40.854445,-73.869863,Bronx Park Playground at Lydig,Outdoor 
Entrance to Cafeteria,Bronx,40.849760000000003,-73.880054999999999,Bronx Zoo,Outdoor
Cafeteria,Bronx,40.850017000000001,-73.880035000000007,Bronx Zoo,Outdoor
Bryant Avenue Bet. Seneca and Garrison Aves.,Bronx,40.819933,-73.887069,Bryant Hill Community Garden,Greenthumb
,Bronx,40.871706,-73.872741,Burke Bridge,Outdoor 
In front of Alumnae Hall,Bronx,40.911295000000003,-73.907651999999999,College of Mt. St. Vincent,Outdoor
In front of Cardinal Spellman Hall,Bronx,40.911236000000002,-73.907910000000001,College of Mt. St. Vincent,Outdoor
Bronx River bet. Westchster Av and Bruckner Blvd,Bronx,40.825217,-73.88546,Concrete Plant Park,Outdoor 
1700 Crotona Ave,Bronx,40.840115,-73.895513,Crotona Park ,Outdoor 
1700 Crotona Ave,Bronx,40.835226,-73.895652,Crotona Park ,Outdoor 
1700 Crotona Ave,Bronx,40.84133,-73.892702,Crotona Park ,Outdoor 
1700 Crotona Ave,Bronx,40.840876,-73.898206,Crotona Park ,Outdoor 
1700 Crotona Ave,Bronx,40.838351,-73.893566,Crotona Park ,Outdoor 
1700 Crotona Ave,Bronx,40.841123,-73.898056,Crotona Park ,Outdoor 
174 St & Manor Ave,Bronx,40.833770000000001,-73.877453000000003,E 174 St & Manor Ave,Outdoor
176 St & Marmion Ave,Bronx,40.841444000000003,-73.888486999999998,E 176 St & Marmion Ave,Outdoor
Gun Hill Rd & Bronxwood Ave,Bronx,40.875552999999996,-73.860525999999993,E Gun Hill Rd & Bronxwood Ave,Outdoor
Tremont Ave & Bruckner Blvd,Bronx,40.833109,-73.828284999999994,E Tremont Ave & Bruckner Blvd,Outdoor
Tremont Ave & University Ave,Bronx,40.85042,-73.915529000000006,E Tremont Ave & University Ave,Outdoor
315 Echo Pl,Bronx,40.849292,-73.902175,Echo Park,Outdoor 
836 Elton Avenue ,Bronx,40.822893,-73.91266,Edith Community Garden (830 Elton Tenants Assoc.),Greenthumb
Tinton Avenue @ E. 150th Street ,Bronx,40.813663,-73.905898,El Flamboyan,Greenthumb
419 East 158th Street ,Bronx,40.82201,-73.914009,Family Group Garden,Greenthumb
Grand Concourse West & Fordham Rd,Bronx,40.862402,-73.897174,Fordham University,Outdoor 
Main Entrance (Kazimiroff Blvd),Bronx,40.861379,-73.881414,Fordham University,Outdoor 
Side Entrance (E Fordham Rd & 3 Ave),Bronx,40.861267,-73.89014,Fordham University,Outdoor
Kingsbridge Rd & Fordham Rd,Bronx,40.861947999999998,-73.893726000000001,Fordham University,Outdoor
"E 204 St, W/S Bronx Park",Bronx,40.869996,-73.876238,French Charley Playground,Subproperty
851 Hornaday Avenue,Bronx,40.847026,-73.882534,Hornaday Community Garden (volky Flower Garden),Greenthumb
3 Ave & 149 St,Bronx,40.816171,-73.917594,HUB 3rd Ave,Outdoor 
Hunt's Point Ave Btwn. Spofford Ave & Bryant Ave,Bronx,40.814213,-73.885886,Hunts Point,Outdoor 
Hunt's Point Ave Btwn. Spofford Ave & Bryant Ave,Bronx,40.814213,-73.885886,Hunt's Point,Indoor
Lafayette Ave & Edgewater Rd,Bronx,40.817471,-73.882622,Hunt's point Riverside Park- Plgd - Parks,Outdoor 
625 Wales Avenue ,Bronx,40.81484,-73.90691,Isla Verde Garden,Greenthumb
15 Buchanan Place,Bronx,40.858005,-73.90485,Jardin de las Rosas,Greenthumb
E 164 St Btwn. Grand Concourse & Walton Ave,Bronx,40.829632,-73.921933,Joyce Kilmer,Outdoor 
E 164 St Btwn. Grand Concourse & Walton Ave,Bronx,40.827502,-73.923062,Joyce Kilmer,Outdoor 
3101 Kingsbridge Ave,Bronx,40.877667,-73.90062,Kingsbridge Heights Community Center,Indoor
1126-1140 Woodycrest Avenue ,Bronx,40.835694,-73.925664,Las Casitas Communitiy Garden,Greenthumb
E 160th St and Elton Ave,Bronx,40.8229705286,-73.9128832182,Little Green Garden (3) Large lower expanse,Greenthumb
Mill Pond Park,Bronx,40.822992396899998,-73.931892542900002,Mill Pond,Outdoor 
E 165 St Btwn. Jerome Ave & River Ave,Bronx,40.834258,-73.923392,Mullaly,Outdoor 
E 165 St Btwn. Jerome Ave & River Ave,Bronx,40.831466,-73.923947,Mullaly,Outdoor 
Bronx Park,Bronx,40.8415557191,-73.877522673900003,Muskrat Playground,Outdoor 
"E/S Hoe Ave., S/O/ Aldus Street ",Bronx,40.822711,-73.890242,New Hoe Avenue Garden,Greenthumb
Bronx Park,Bronx,40.889428,-73.864356,Niles Triangle,Subproperty
Noble Ave Btwn. Bronx River Ave & E 177 St,Bronx,40.836706,-73.872355,Noble Playground,Outdoor 
Van Cortlandt Park,Bronx,40.90208,-73.868519,Nursery,Outdoor 
Bronx Blvd & E 219 St,Bronx,40.884079,-73.866996,Olinville,Subproperty
Orchard Beach,Bronx,40.866292,-73.794774,"Orchard Beach picnic areas, basketball ct, Pelham playground, Nature Center, Boathouse",Outdoor 
Orchard Beach,Bronx,40.867984,-73.793396,"Orchard Beach picnic areas, basketball ct, Pelham playground, Nature Center, Boathouse",Outdoor 
Orchard Beach,Bronx,40.868802,-73.792261,"Orchard Beach picnic areas, basketball ct, Pelham playground, Nature Center, Boathouse",Outdoor 
Orchard Beach,Bronx,40.869068,-73.792558,"Orchard Beach picnic areas, basketball ct, Pelham playground, Nature Center, Boathouse",Outdoor 
Orchard Beach,Bronx,40.872275,-73.797323,"Orchard Beach picnic areas, basketball ct, Pelham playground, Nature Center, Boathouse",Outdoor 
2551 Westchester Ave,Bronx,40.840504,-73.842668,Owen Dolan,Outdoor 
2551 Westchester Ave,Bronx,40.840626,-73.843231,Owen Dolan,Outdoor
Olmstead Ave Btwn Turnbull Ave & Lafayette Ave ,Bronx,40.82366,-73.850766,P.O. Serrano,Outdoor 
St. Peter's Ave at Tratman Ave ,Bronx,40.838797,-73.845791,Pearly Gates,Outdoor 
Pelham Bay Park,Bronx,40.851723,-73.824697,"Pelham Bay  Ball field, north picnic area",Outdoor 
Pelham Bay Park,Bronx,40.849069,-73.822954,"Pelham Bay picnic, running track",Outdoor 
