'key','count','docs'
'2011', 3, ('1';'2';'4')
'city', 3, ('4';'5';'8')
'york', 2, ('5';'8')
'new', 2, ('5';'8')
'results', 2, ('1';'5')
'school', 2, ('1';'2')
'by', 2, ('1';'8')
'level', 2, ('1';'2')
'and', 2, ('4';'8')
'center', 1, ('3')
'projects', 1, ('6')
'bins', 1, ('9')
'group', 1, ('8')
'test', 1, ('1')
'class', 1, ('2')
'dohmh', 1, ('5')
'of', 1, ('4')
'size', 1, ('2')
'domain', 1, ('0')
'inquiry', 1, ('3')
'call', 1, ('3')
'math', 1, ('1')
'grade', 1, ('1')
'law', 1, ('4')
'names', 1, ('8')
'recycling', 1, ('9')
'48', 1, ('4')
