sid,id,position,created_at,created_meta,updated_at,updated_meta,meta,Grade,Year,Category,Number Tested,Mean Scale Score,Level1_N,Level1_%,Level2_N,Level2_%,Level3_N,Level3_%,Level4_N,Level4_%,Level3+4_N,Level3+4_%
1,F7935DFD-A70D-48CA-ACDD-96A50C234969,1,1506349683,1005242,1506349683,1005242,,3,2013,All Students,71839,298,27778,38.7,23871,33.2,17622,24.5,2568,3.6,20190,28.1
2,0E42757A-E402-4F2D-9430-929C1ECEE12F,2,1506349683,1005242,1506349683,1005242,,3,2014,All Students,71389,296,27877,39.0,22154,31.0,18603,26.1,2755,3.9,21358,29.9
3,8B1D0F47-A066-4E3C-93E1-ADE34ADFC370,3,1506349683,1005242,1506349683,1005242,,3,2015,All Students,70320,298,26237,37.3,22826,32.5,17534,24.9,3723,5.3,21257,30.2
4,262B13F0-329D-4F9B-9D46-37C952754EFB,4,1506349683,1005242,1506349683,1005242,,3,2016,All Students,71055,309,19403,27.3,22599,31.8,23577,33.2,5476,7.7,29053,40.9
5,21694F3D-81AC-48B7-8E8C-B3056AEA2B87,5,1506349683,1005242,1506349683,1005242,,3,2017,All Students,68406,308,19681,28.8,19602,28.7,23234,34.0,5889,8.6,29123,42.6
6,5142ECCD-B724-4D33-86D9-05A468CB0907,6,1506349683,1005242,1506349683,1005242,,4,2013,All Students,70116,297,23509,33.5,27536,39.3,12913,18.4,6158,8.8,19071,27.2
7,7A28D8FC-53D1-4632-8A0E-0634B5B19037,7,1506349683,1005242,1506349683,1005242,,4,2014,All Students,69644,298,22827,32.8,25140,36.1,14412,20.7,7265,10.4,21677,31.1
8,C676B9AC-5E68-4F63-8147-3EC710E5854C,8,1506349683,1005242,1506349683,1005242,,4,2015,All Students,69695,299,22214,31.9,25677,36.8,13828,19.8,7976,11.4,21804,31.3
9,A6148A1A-A4E9-447C-B933-6B976E90E2F1,9,1506349683,1005242,1506349683,1005242,,4,2016,All Students,69426,308,16352,23.6,24309,35.0,17328,25.0,11437,16.5,28765,41.4
10,755B4CB3-FB1E-4422-80D4-9DE2A77F63F0,10,1506349683,1005242,1506349683,1005242,,4,2017,All Students,69941,308,16702,23.9,23868,34.1,17067,24.4,12304,17.6,29371,42.0
11,D56C9B3C-E6B3-4D3C-835A-F67EE551A5F2,11,1506349683,1005242,1506349683,1005242,,5,2013,All Students,68198,299,24398,35.8,24253,35.6,13701,20.1,5846,8.6,19547,28.7
12,23D50178-0B6A-4698-BC75-0182168DE98E,12,1506349683,1005242,1506349683,1005242,,5,2014,All Students,67614,297,24740,36.6,23676,35.0,12628,18.7,6570,9.7,19198,28.4
13,208AEDC2-A6CA-4D2F-83FE-9ACBB6CD433F,13,1506349683,1005242,1506349683,1005242,,5,2015,All Students,66329,298,23175,34.9,23453,35.4,12763,19.2,6938,10.5,19701,29.7
14,91A95E85-6399-4C30-8815-7726333E3508,14,1506349683,1005242,1506349683,1005242,,5,2016,All Students,67536,299,24252,35.9,20222,29.9,15352,22.7,7710,11.4,23062,34.1
15,C89DD717-77FC-4B7C-80B4-3C518A599982,15,1506349683,1005242,1506349683,1005242,,5,2017,All Students,67157,303,22130,33.0,20781,30.9,14566,21.7,9680,14.4,24246,36.1
16,06CE427C-C901-4E0A-8025-14D3DEF2F57E,16,1506349683,1005242,1506349683,1005242,,6,2013,All Students,67712,294,23873,35.3,28054,41.4,8651,12.8,7134,10.5,15785,23.3
17,0038B965-953E-4FC5-90D0-166F47328D91,17,1506349683,1005242,1506349683,1005242,,6,2014,All Students,66061,296,20240,30.6,29121,44.1,8703,13.2,7997,12.1,16700,25.3
18,3C48316B-2C3D-4A34-8D0F-70229A178F25,18,1506349683,1005242,1506349683,1005242,,6,2015,All Students,65048,299,20049,30.8,25457,39.1,9913,15.2,9629,14.8,19542,30.0
19,AF63C349-3F4F-4176-AC33-8D14953E52B8,19,1506349683,1005242,1506349683,1005242,,6,2016,All Students,63880,301,17365,27.2,24330,38.1,12445,19.5,9740,15.2,22185,34.7
20,7FDDB743-4018-496F-BCBF-DF68F8328687,20,1506349683,1005242,1506349683,1005242,,6,2017,All Students,64965,299,19671,30.3,24285,37.4,9839,15.1,11170,17.2,21009,32.3
21,B0239C67-37C4-4B29-9120-066BCA20C974,21,1506349683,1005242,1506349683,1005242,,7,2013,All Students,69012,295,25865,37.5,25562,37.0,13256,19.2,4329,6.3,17585,25.5
22,F410A678-40DC-46D3-97FA-8305BF28C4E9,22,1506349683,1005242,1506349683,1005242,,7,2014,All Students,67104,294,25025,37.3,24119,35.9,13942,20.8,4018,6.0,17960,26.8
23,59248B7D-02B8-4CAA-A381-87349BD21E81,23,1506349683,1005242,1506349683,1005242,,7,2015,All Students,65635,295,24810,37.8,22347,34.0,14717,22.4,3761,5.7,18478,28.2
