sid,id,position,created_at,created_meta,updated_at,updated_meta,meta,Grade,Year,Category,Number Tested,Mean Scale Score,Level1_N,Level1_%,Level2_N,Level2_%,Level3_N,Level3_%,Level4_N,Level4_%,Level3+4_N,Level3+4_%
1,5FACAEE8-7CD3-4C9F-ABD9-306FD34B8BF9,1,1506350237,1005242,1506350237,1005242,,3,2014,Current ELL,9241,270,6443,69.7,2143,23.2,636,6.9,19,0.2,655,7.1
2,23F4863D-0144-459E-AE0A-27FB6FBB7DB8,2,1506350237,1005242,1506350237,1005242,,3,2015,Current ELL,9559,272,6505,68.1,2293,24.0,708,7.4,53,0.6,761,8.0
3,D7FAD981-9EF7-490C-947D-7D58F84951D8,3,1506350237,1005242,1506350237,1005242,,3,2016,Current ELL,9609,280,5912,61.5,2857,29.7,809,8.4,31,0.3,840,8.7
4,24689C24-452D-4191-BED5-2CF15FFB8C04,4,1506350237,1005242,1506350237,1005242,,3,2017,Current ELL,10836,282,6248,57.7,3276,30.2,1263,11.7,49,0.5,1312,12.1
5,383C666C-AD40-4CC0-AB3E-FC5197DBDE19,5,1506350237,1005242,1506350237,1005242,,4,2014,Current ELL,9768,270,6505,66.6,2688,27.5,506,5.2,69,0.7,575,5.9
6,B35CC68F-6535-4B88-916C-5367C0387AE0,6,1506350237,1005242,1506350237,1005242,,4,2015,Current ELL,8757,270,5701,65.1,2462,28.1,498,5.7,96,1.1,594,6.8
7,9442EAD4-5FE3-4E08-B3F8-63F741A95E6B,7,1506350237,1005242,1506350237,1005242,,4,2016,Current ELL,8648,279,4930,57.0,3082,35.6,565,6.5,71,0.8,636,7.4
8,F01D28DA-EAF0-4B06-B0F4-0A5B66198576,8,1506350237,1005242,1506350237,1005242,,4,2017,Current ELL,9135,276,5273,57.7,3199,35.0,597,6.5,66,0.7,663,7.3
9,E58B8DC3-295E-49D0-B10C-15335C54CBA3,9,1506350237,1005242,1506350237,1005242,,5,2014,Current ELL,8062,264,6195,76.8,1639,20.3,188,2.3,40,0.5,228,2.8
10,2C728C7E-44CE-43FA-8A80-B2DB0D93686D,10,1506350237,1005242,1506350237,1005242,,5,2015,Current ELL,7958,263,5953,74.8,1713,21.5,256,3.2,36,0.5,292,3.7
11,FEBB5FA2-2A7A-478F-B7D3-78B235857E99,11,1506350237,1005242,1506350237,1005242,,5,2016,Current ELL,7115,258,5879,82.6,1072,15.1,146,2.1,18,0.3,164,2.3
