sid,id,position,created_at,created_meta,updated_at,updated_meta,meta,PROGRAM TYPE,PROGRAM,SITE NAME,BOROUGH / COMMUNITY,AGENCY,Contact Number,Grade Level / Age Group ,Location 1,Postcode,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA
1,207492EA-507B-4100-B841-C5290542D001,1,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Legal Services,"Sanctuary for Families, Inc. (Manhattan) ","Manhattan,Bronx,Queens,Staten Island, Brooklyn","Sanctuary for Families, Inc.",212.349.6009           ext. 264,All Ages,"[None, None, None, None, None]",,,,,,,,,
2,2744197E-F60F-4853-AA1D-D4E365E456E9,2,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Legal Services,Family Justice Centers in Queens and Brooklyn ,"Manhattan,Bronx,Queens,Staten Island, Brooklyn","Sanctuary for Families, Inc.",212.349.6009           ext. 264,All Ages,"[None, None, None, None, None]",,,,,,,,,
3,29F701FE-1958-41D6-825A-4D6A044CA12F,3,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Legal Assistance Program,Safe Horizon - Immigration Law Project,"Manhattan,Bronx,Queens,Staten Island, Brooklyn","Safe Horizon, Inc.",,All Ages,"[None, None, None, None, None]",,,,,,,,,
4,A8307D38-C77C-44DF-BA7E-94980A9791AA,4,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Domestic Violence Program,Jewish Board of Family and Children Services (JBFCS)-Genesis,Manhattan,New York Legal Assistance Group (NYLAG),212.613.5098,Adult,"['{""address"":""594 Manhattan"",""city"":""NEW YORK"",""state"":"""",""zip"":""10018""}', '40.756840774582145', '-73.99669149981281', None, False]",,,,,,,,,
5,0BE32958-F533-4B44-B9A4-2406EF4A1837,5,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Domestic Violence Program,Edith and Carl Marks Jewish Community House of Bensonhurst,Brooklyn,New York Legal Assistance Group (NYLAG),212.613.5000,All Ages,"['{""address"":""7802 Bay Parkway"",""city"":""Brooklyn"",""state"":""NEW YORK"",""zip"":""11214""}', '40.606424326705934', '-73.98919274272059', None, False]",11214,40.606369,-73.989235,11,44,270,3162352,3062640030,Bensonhurst West                                                           
6,3141FA82-CC5F-4CAF-908B-4010CB1AB6FD,6,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Domestic Violence Program,Jewish Board of Family and Children Services -  Domestic Violence Coordination and Training,Bronx,New York Legal Assistance Group (NYLAG),212.613.5098,Adult,"['{""address"":""750 Astor Avenue"",""city"":""Bronx"",""state"":""NEW YORK"",""zip"":""10467""}', '40.859547368357966', '-73.86555918636485', None, False]",10467,40.859588,-73.865442,11,13,330,2050030,2043450029,Bronxdale                                                                  
7,31535AE4-59E5-4905-B4AA-093BE9D7BC6E,7,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Domestic Violence Program,New York Legal Assistance Group (NYLAG),Manhattan,New York Legal Assistance Group (NYLAG),212.613.5000,All Ages,"['{""address"":""450 33rd St"",""city"":""Manhattan"",""state"":""NEW YORK"",""zip"":""10001""}', '40.75347794565972', '-73.99864692871675', None, False]",,,,,,,,,
8,516B2C23-B384-4147-B2A4-354FC1B409FE,8,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Domestic Violence Program,Jewish Board of Family and Children Services - Horizons,Brooklyn,New York Legal Assistance Group (NYLAG),212.613.5098,Adult,"['{""address"":""060280 Brooklyn"",""city"":""NEW YORK"",""state"":"""",""zip"":""11206""}', '40.70191201682616', '-73.94237919854112', None, False]",,,,,,,,,
9,DA8A66F3-69B7-4DC3-B30F-B0F0AC86890F,9,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Domestic Violence Program,"Bronx Neighborhood Office, Legal Aid Society",Bronx,The Legal Aid Society,718.991.4758,Adult,"['{""address"":""953 Southern Blvd"",""city"":""Bronx"",""state"":""NEW YORK"",""zip"":""10459""}', '40.82138697876596', '-73.89168233735057', None, False]",10459,40.82148,-73.891688,2,17,159,2005787,2027240186,Hunts Point                                                                
10,017EC117-F6B3-431C-84B6-018946C5098C,10,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Services - Immigrant Families,Harbor Heights Middle School - Children's Arts & Science,Manhattan,"Children's Arts & Science Workshops, Inc.",212-923-7766,All Ages,"['{""address"":""549 Audubon Avenue"",""city"":""Manhattan"",""state"":""NEW YORK"",""zip"":""10040""}', '40.856389753646916', '-73.92672451121956', None, False]",10040,40.855954,-73.927051,12,10,277,1076751,1021600018,Washington Heights North                                                   
11,353CBA77-9BD4-4A36-B9DF-A0017F587A28,11,1505504791,994730,1505504791,994730,,"Immigration Services,Immigrant Support Services",Legal Assistance Program,Northern Manhattan Improvement Corporation (NMIC),Manhattan,Northern Manhattan              Improvement Corporation,212-822-8319,All Ages,"['{""address"":""76 Wadsworth Avenue"",""city"":""Manhattan"",""state"":""NEW YORK"",""zip"":""10033""}', '40.84705167605878', '-73.93704472494271', None, False]",10033,40.847012,-73.93704,12,10,263,1063574,1021450051,Washington Heights South                                                   
