2011	3,['4,1', '2,1', '1,1']
by	2,['8,1', '1,1']
and	2,['4,1', '8,1']
city	2,['4,1', '8,1']
school	2,['2,1', '1,1']
level	2,['2,1', '1,1']
recycling	1,['9,1']
public	1,['9,1']
bins	1,['9,1']
sex	1,['8,1']
names	1,['8,1']
most	1,['8,1']
group	1,['8,1']
new	1,['8,1']
york	1,['8,1']
ethnic	1,['8,1']
baby	1,['8,1']
s	1,['8,1']
mother	1,['8,1']
popular	1,['8,1']
manhattan	1,['7,1']
lower	1,['7,1']
retailers	1,['7,1']
energy	1,['6,1']
efficiency	1,['6,1']
projects	1,['6,1']
owned	1,['4,1']
48	1,['4,1']
of	1,['4,1']
leased	1,['4,1']
law	1,['4,1']
local	1,['4,1']
property	1,['4,1']
311	1,['3,1']
inquiry	1,['3,1']
call	1,['3,1']
center	1,['3,1']
size	1,['2,1']
detail	1,['2,1']
class	1,['2,1']
2010	1,['2,1']
all	1,['1,1']
grade	1,['1,1']
nys	1,['1,1']
test	1,['1,1']
math	1,['1,1']
students	1,['1,1']
results	1,['1,1']
2006	1,['1,1']
nyc	1,['0,1']
domain	1,['0,1']
registrations	1,['0,1']
