average_class_size,borough,core_course_ms_core_and_9_12_only_,core_subject_ms_core_and_9_12_only_,csd,data_source,grade_,number_of_sections,number_of_students_seats_filled,program_type,school_code,school_name,schoolwide_pupil_teacher_ratio,service_category_k_9_only_,size_of_largest_class,size_of_smallest_class
19.0,M,-,-,1,ATS,0K,1,19,GEN ED,M015,P.S. 015 Roberto Clemente,,-,19,19
21.0,M,-,-,1,ATS,0K,1,21,CTT,M015,P.S. 015 Roberto Clemente,,-,21,21
17.0,M,-,-,1,ATS,01,1,17,GEN ED,M015,P.S. 015 Roberto Clemente,,-,17,17
17.0,M,-,-,1,ATS,01,1,17,CTT,M015,P.S. 015 Roberto Clemente,,-,17,17
15.0,M,-,-,1,ATS,02,1,15,GEN ED,M015,P.S. 015 Roberto Clemente,,-,15,15
17.0,M,-,-,1,ATS,02,1,17,CTT,M015,P.S. 015 Roberto Clemente,,-,17,17
12.0,M,-,-,1,ATS,03,1,12,GEN ED,M015,P.S. 015 Roberto Clemente,,-,12,12
15.0,M,-,-,1,ATS,03,1,15,CTT,M015,P.S. 015 Roberto Clemente,,-,15,15
13.0,M,-,-,1,ATS,04,2,26,GEN ED,M015,P.S. 015 Roberto Clemente,,-,14,12
27.0,M,-,-,1,ATS,05,1,27,GEN ED,M015,P.S. 015 Roberto Clemente,,-,27,27
9.0,M,-,-,1,ATS,0K-09,1,9,SPEC ED,M015,P.S. 015 Roberto Clemente,,12:1:1,9,9
,M,,,1,,,,,,M015,P.S. 015 Roberto Clemente,8.4,,,
19.5,M,-,-,1,ATS,0K,2,39,GEN ED,M019,P.S. 019 Asher Levy,,-,21,18
12.0,M,-,-,1,ATS,0K,1,12,CTT,M019,P.S. 019 Asher Levy,,-,12,12
19.5,M,-,-,1,ATS,01,2,39,GEN ED,M019,P.S. 019 Asher Levy,,-,20,19
13.0,M,-,-,1,ATS,01,1,13,CTT,M019,P.S. 019 Asher Levy,,-,13,13
23.0,M,-,-,1,ATS,02,2,46,GEN ED,M019,P.S. 019 Asher Levy,,-,24,22
17.5,M,-,-,1,ATS,03,2,35,GEN ED,M019,P.S. 019 Asher Levy,,-,18,17
22.0,M,-,-,1,ATS,04,1,22,GEN ED,M019,P.S. 019 Asher Levy,,-,22,22
24.0,M,-,-,1,ATS,04,1,24,CTT,M019,P.S. 019 Asher Levy,,-,24,24
22.0,M,-,-,1,ATS,05,1,22,GEN ED,M019,P.S. 019 Asher Levy,,-,22,22
21.0,M,-,-,1,ATS,05,1,21,CTT,M019,P.S. 019 Asher Levy,,-,21,21
7.0,M,-,-,1,ATS,0K-09,1,7,SPEC ED,M019,P.S. 019 Asher Levy,,12:1,7,7
11.0,M,-,-,1,ATS,0K-09,1,11,SPEC ED,M019,P.S. 019 Asher Levy,,12:1:1,11,11
,M,,,1,,,,,,M019,P.S. 019 Asher Levy,10.0,,,
22.3,M,-,-,1,ATS,0K,4,89,GEN ED,M020,P.S. 020 Anna Silver,,-,23,20
22.0,M,-,-,1,ATS,0K,1,22,CTT,M020,P.S. 020 Anna Silver,,-,22,22
23.0,M,-,-,1,ATS,01,3,69,GEN ED,M020,P.S. 020 Anna Silver,,-,24,22
21.0,M,-,-,1,ATS,01,1,21,CTT,M020,P.S. 020 Anna Silver,,-,21,21
18.3,M,-,-,1,ATS,02,3,55,GEN ED,M020,P.S. 020 Anna Silver,,-,21,16
22.0,M,-,-,1,ATS,02,1,22,CTT,M020,P.S. 020 Anna Silver,,-,22,22
19.0,M,-,-,1,ATS,03,3,57,GEN ED,M020,P.S. 020 Anna Silver,,-,20,17
22.0,M,-,-,1,ATS,03,1,22,CTT,M020,P.S. 020 Anna Silver,,-,22,22
23.3,M,-,-,1,ATS,04,3,70,GEN ED,M020,P.S. 020 Anna Silver,,-,24,23
24.0,M,-,-,1,ATS,04,1,24,CTT,M020,P.S. 020 Anna Silver,,-,24,24
