bbl,bin,block_lot,borough,census_tract,cnadrprf_addrline1,cnadrprf_addrline2,cnadrprf_city,cnadrprf_state,cnadrprf_zip,cnbio_org_name,community_board,council_district,latitude,longitude,nta,primary,secondary
,,Aug-32,,,3 New York Plaza,,New York,NY,10004,Starbucks Coffee,,,,,,Casual Eating & Takeout,F-Coffeehouse
1000087501,1087700,Aug-32,MANHATTAN,9,39 Whitehall Street,,New York,NY,10004,New York Health & Racquet Club,1,1,40.703037,-74.012969,Battery Park City-Lower Manhattan                                          ,Personal and Professional Services,P-Athletic Clubs/Fitness
1000100032,1000028,Oct-32,MANHATTAN,9,6 Stone Street,,New York,NY,10004,A.J. Kelly's,1,1,40.704028,-74.012692,Battery Park City-Lower Manhattan                                          ,Full Service Dining,F-Irish Pub
1000070035,1078965,Jul-35,MANHATTAN,9,54 Pearl Street,,New York,NY,10004,Fraunces Tavern® Restaurant,1,1,40.703496,-74.011375,Battery Park City-Lower Manhattan                                          ,Full Service Dining,F-American
1000070038,1000014,Jul-37,MANHATTAN,9,60 Pearl Street,,New York,NY,10004,Bombay's,1,1,40.703553,-74.011152,Battery Park City-Lower Manhattan                                          ,Casual Eating & Takeout,F-Indian
1000070038,1000014,Jul-38,MANHATTAN,9,60 Pearl Street,Floor 2,New York,NY,10004,Pearl Bodywork,1,1,40.703553,-74.011152,Battery Park City-Lower Manhattan                                          ,Personal and Professional Services,P-Spa
1000080051,1000017,Aug-51,MANHATTAN,9,6 Water Street,,New York,NY,10004,McDonald's,1,1,40.702744,-74.012201,Battery Park City-Lower Manhattan                                          ,Casual Eating & Takeout,F-Fast Food
1000080051,1078969,Aug-51,MANHATTAN,9,12 Water Street,,New York,NY,10004,Water Street Gourmet Deli & Pizza,1,1,40.702834,-74.011963,Battery Park City-Lower Manhattan                                          ,Casual Eating & Takeout,F-Deli
,,1-Apr,,,1 New York Plaza,,New York,NY,10004,Alice's Fashion,,,,,,Shopping,S-Apparel: Women's
,,1-Apr,,,1 New York Plaza,,New York,NY,10004,Mr. Soup,,,,,,Casual Eating & Takeout,F-Soup
