brth_yr,cnt,ethcty,gndr,nm,rnk
2011,24,ASIAN AND PACIFIC ISLANDER,FEMALE,ABIGAIL,24
2011,24,ASIAN AND PACIFIC ISLANDER,FEMALE,ABIGAIL,24
2011,24,ASIAN AND PACIFIC ISLANDER,FEMALE,ABIGAIL,24
2011,24,ASIAN AND PACIFIC ISLANDER,FEMALE,ABIGAIL,24
2011,24,ASIAN AND PACIFIC ISLANDER,FEMALE,ABIGAIL,24
2011,13,ASIAN AND PACIFIC ISLANDER,FEMALE,ADA,35
2011,13,ASIAN AND PACIFIC ISLANDER,FEMALE,ADA,35
2011,13,ASIAN AND PACIFIC ISLANDER,FEMALE,ADA,35
2011,13,ASIAN AND PACIFIC ISLANDER,FEMALE,ADA,35
2011,13,ASIAN AND PACIFIC ISLANDER,FEMALE,ADA,35
2011,13,ASIAN AND PACIFIC ISLANDER,FEMALE,AISHA,35
2011,13,ASIAN AND PACIFIC ISLANDER,FEMALE,AISHA,35
2011,13,ASIAN AND PACIFIC ISLANDER,FEMALE,AISHA,35
2011,13,ASIAN AND PACIFIC ISLANDER,FEMALE,AISHA,35
2011,13,ASIAN AND PACIFIC ISLANDER,FEMALE,AISHA,35
2011,10,ASIAN AND PACIFIC ISLANDER,FEMALE,AIZA,38
2011,10,ASIAN AND PACIFIC ISLANDER,FEMALE,AIZA,38
2011,10,ASIAN AND PACIFIC ISLANDER,FEMALE,AIZA,38
2011,10,ASIAN AND PACIFIC ISLANDER,FEMALE,AIZA,38
2011,10,ASIAN AND PACIFIC ISLANDER,FEMALE,AIZA,38
2011,12,ASIAN AND PACIFIC ISLANDER,FEMALE,ALEENA,36
2011,12,ASIAN AND PACIFIC ISLANDER,FEMALE,ALEENA,36
2011,12,ASIAN AND PACIFIC ISLANDER,FEMALE,ALEENA,36
2011,12,ASIAN AND PACIFIC ISLANDER,FEMALE,ALEENA,36
2011,12,ASIAN AND PACIFIC ISLANDER,FEMALE,ALEENA,36
2011,10,ASIAN AND PACIFIC ISLANDER,FEMALE,ALEXA,38
2011,10,ASIAN AND PACIFIC ISLANDER,FEMALE,ALEXA,38
2011,10,ASIAN AND PACIFIC ISLANDER,FEMALE,ALEXA,38
