sid,id,position,created_at,created_meta,updated_at,updated_meta,meta,Grade,Year,Category,Number Tested,Mean Scale Score,# Level 1,% Level 1,# Level 2,% Level 2,# Level 3,% Level 3,# Level 4,% Level 4,# Level 3+4,% Level 3+4
1,2DA2AEA9-8A89-483D-9AC7-01239A9AA34E,1,1457446119,399231,1457446119,399231,,3,2013,ELL,11123,276,7261,65.3,3100,27.9,742,6.7,20,0.2,762,6.9
2,105895EF-47A4-45DD-AECE-E501430FA958,2,1457446119,399231,1457446119,399231,,3,2014,ELL,9241,270,6443,69.7,2143,23.2,636,6.9,19,0.2,655,7.1
3,B01533A4-A00E-4D90-A45A-CB7508C7DFCE,3,1457446119,399231,1457446119,399231,,3,2015,ELL,9559,272,6505,68.1,2293,24,708,7.4,53,0.6,761,8
4,0E6ECEA5-40FD-4EED-AC69-B22974FFABFE,4,1457446119,399231,1457446119,399231,,4,2013,ELL,9429,267,6441,68.3,2644,28,305,3.2,39,0.4,344,3.6
5,B9C8E809-2BE2-49A8-9CEC-2DE18123344D,5,1457446119,399231,1457446119,399231,,4,2014,ELL,9768,270,6505,66.6,2688,27.5,506,5.2,69,0.7,575,5.9
6,D27EB2B5-6F3A-436D-87D6-92415FDB4B97,6,1457446119,399231,1457446119,399231,,4,2015,ELL,8757,270,5701,65.1,2462,28.1,498,5.7,96,1.1,594,6.8
7,61308519-FA50-46C8-BB64-E862EADDB62B,7,1457446119,399231,1457446119,399231,,5,2013,ELL,9439,270,6673,70.7,2386,25.3,344,3.6,36,0.4,380,4
8,6031DBE0-9697-42AF-91E7-298C5974F83B,8,1457446119,399231,1457446119,399231,,5,2014,ELL,8062,264,6195,76.8,1639,20.3,188,2.3,40,0.5,228,2.8
9,1D8041A2-BF69-4164-AE3F-584B065B9651,9,1457446119,399231,1457446119,399231,,5,2015,ELL,7958,263,5953,74.8,1713,21.5,256,3.2,36,0.5,292,3.7
10,58F075AA-12B6-4361-8E64-08243D1C232E,10,1457446119,399231,1457446119,399231,,6,2013,ELL,7224,258,5823,80.6,1307,18.1,73,1,21,0.3,94,1.3
11,8FA2B7EC-6F74-4615-8171-E10E31572DA0,11,1457446119,399231,1457446119,399231,,6,2014,ELL,8300,263,5879,70.8,2288,27.6,109,1.3,24,0.3,133,1.6
12,3D982FCD-02E2-4DF9-93D9-35BB791ACC35,12,1457446119,399231,1457446119,399231,,6,2015,ELL,7315,263,5420,74.1,1708,23.3,143,2,44,0.6,187,2.6
13,EAC8BB0D-38B1-40AF-B099-3235F9E90ED7,13,1457446119,399231,1457446119,399231,,7,2013,ELL,7043,258,5847,83,1095,15.5,95,1.3,6,0.1,101,1.4
14,D36E18AB-4CA9-451C-845C-4F5E3F1A22FA,14,1457446119,399231,1457446119,399231,,7,2014,ELL,6998,259,5696,81.4,1190,17,103,1.5,9,0.1,112,1.6
15,99343B5B-C971-40E6-ACF8-E2233B073880,15,1457446119,399231,1457446119,399231,"{
  ""invalidCells"" : {
    ""34867114"" : ""NA""
  }
}",7,2015,ELL,7209,259,5875,81.5,1227,17,106,1.5,,0,107,1.5
16,98232381-CD4C-4452-87FC-4EFDEB4BC854,16,1457446119,399231,1457446119,399231,,8,2013,ELL,7896,255,6462,81.8,1337,16.9,91,1.2,6,0.1,97,1.2
17,C63C5C59-38F2-429E-9D4F-A550784FFD59,17,1457446119,399231,1457446119,399231,,8,2014,ELL,7120,256,5716,80.3,1306,18.3,93,1.3,5,0.1,98,1.4
18,50E0F2F5-7AFD-4284-AEC4-697C1A87B56C,18,1457446119,399231,1457446119,399231,,8,2015,ELL,6712,260,5018,74.8,1543,23,143,2.1,8,0.1,151,2.2
19,660F1788-FEC5-4D7C-A6ED-6374AE9208EC,19,1457446119,399231,1457446119,399231,,All Grades,2013,ELL,52154,265,38507,73.8,11869,22.8,1650,3.2,128,0.2,1778,3.4
20,E8438BC8-9DD8-40E2-8363-7C75F920CBBA,20,1457446119,399231,1457446119,399231,,All Grades,2014,ELL,49489,264,36434,73.6,11254,22.7,1635,3.3,166,0.3,1801,3.6
21,B66FC968-2E3C-401A-AC46-6AEB9A05360E,21,1457446119,399231,1457446119,399231,,All Grades,2015,ELL,47510,265,34472,72.6,10946,23,1854,3.9,238,0.5,2092,4.4
22,21B0E141-5A5C-43F9-9DC3-B52B95B4B4C1,22,1457446119,399231,1457446119,399231,,3,2013,EP,56204,301,19534,34.8,18883,33.6,15382,27.4,2405,4.3,17787,31.6
23,02E651B9-34F5-49E7-82A9-B4935C918BBA,23,1457446119,399231,1457446119,399231,,3,2014,EP,56145,300,19645,35,17528,31.2,16374,29.2,2598,4.6,18972,33.8
24,81ADE7DE-B3C0-44BF-A5F8-9E6646F95BED,24,1457446119,399231,1457446119,399231,,3,2015,EP,55074,302,18303,33.2,18092,32.9,15211,27.6,3468,6.3,18679,33.9
25,82FE4B4B-AB05-4109-A6E8-A6D8ACDBEA35,25,1457446119,399231,1457446119,399231,,4,2013,EP,57003,301,16427,28.8,22960,40.3,11726,20.6,5890,10.3,17616,30.9
26,79E7099B-B618-430A-AD72-09C667D37D4C,26,1457446119,399231,1457446119,399231,,4,2014,EP,56762,303,15825,27.9,20957,36.9,13076,23,6904,12.2,19980,35.2
27,C8DC7B45-1A24-488E-8AAB-D62DD57D6B60,27,1457446119,399231,1457446119,399231,,4,2015,EP,57362,303,15765,27.5,21528,37.5,12495,21.8,7574,13.2,20069,35
28,885736A0-8D38-4545-9471-DEA45A0E98BA,28,1457446119,399231,1457446119,399231,,5,2013,EP,54942,303,16872,30.7,20004,36.4,12462,22.7,5604,10.2,18066,32.9
29,338002CA-9D06-4B8B-BF86-8DF10E8AB515,29,1457446119,399231,1457446119,399231,,5,2014,EP,55539,302,17366,31.3,20033,36.1,11773,21.2,6367,11.5,18140,32.7
30,2A5AEF34-E32B-478C-A0E1-613CC46AEBFE,30,1457446119,399231,1457446119,399231,,5,2015,EP,54331,303,16202,29.8,19686,36.2,11728,21.6,6715,12.4,18443,33.9
31,7E66C253-D042-4FFE-B33C-F266B098E330,31,1457446119,399231,1457446119,399231,,6,2013,EP,55299,298,16397,29.7,23813,43.1,8137,14.7,6952,12.6,15089,27.3
32,8B54EFA3-397C-4A4B-9EE3-98151E738A2D,32,1457446119,399231,1457446119,399231,,6,2014,EP,54284,301,13667,25.2,24659,45.4,8152,15,7806,14.4,15958,29.4
33,8381C75A-0CD5-4511-8897-7CC6C5F344B3,33,1457446119,399231,1457446119,399231,,6,2015,EP,54505,303,13821,25.4,21991,40.3,9323,17.1,9370,17.2,18693,34.3
34,70E660A9-DCB0-4E1C-925C-92E0EEA85708,34,1457446119,399231,1457446119,399231,,7,2013,EP,57784,300,18423,31.9,22389,38.7,12702,22,4270,7.4,16972,29.4
35,741F0319-55CD-4818-80E5-6F344F9F0FDB,35,1457446119,399231,1457446119,399231,,7,2014,EP,56491,299,17993,31.9,21141,37.4,13402,23.7,3955,7,17357,30.7
36,DBFA982C-E556-4A06-B643-3C937A0F154E,36,1457446119,399231,1457446119,399231,,7,2015,EP,54912,299,17682,32.2,19402,35.3,14103,25.7,3725,6.8,17828,32.5
37,82B256F8-7DF6-4F18-BABA-57851B2ED2E5,37,1457446119,399231,1457446119,399231,,8,2013,EP,58148,297,18421,31.7,22723,39.1,12243,21.1,4761,8.2,17004,29.2
38,EB6638A0-EE54-4A89-8A49-60AE6B51828C,38,1457446119,399231,1457446119,399231,,8,2014,EP,59833,300,15455,25.8,24710,41.3,13874,23.2,5794,9.7,19668,32.9
39,DDD89E25-C706-494A-A3D3-0932A42B747D,39,1457446119,399231,1457446119,399231,,8,2015,EP,57420,302,13419,23.4,22768,39.7,15296,26.6,5937,10.3,21233,37
40,81D6AD38-BE73-4273-8E9A-F58CFF955189,40,1457446119,399231,1457446119,399231,,All Grades,2013,EP,339380,300,106074,31.3,130772,38.5,72652,21.4,29882,8.8,102534,30.2
41,4555A07F-68AD-4550-93BF-D341734DCC74,41,1457446119,399231,1457446119,399231,,All Grades,2014,EP,339054,301,99951,29.5,129028,38.1,76651,22.6,33424,9.9,110075,32.5
42,F9593E02-E4CC-4501-9666-867CCA0CC3C1,42,1457446119,399231,1457446119,399231,,All Grades,2015,EP,333604,302,95192,28.5,123467,37,78156,23.4,36789,11,114945,34.5
43,CE3EA594-080C-4834-9125-DB63B319ABE0,43,1457446119,399231,1457446119,399231,,3,2013,Former ELL,4512,309,983,21.8,1888,41.8,1498,33.2,143,3.2,1641,36.4
44,03F87E99-13B3-43D6-ADC8-F1FD220C18EC,44,1457446119,399231,1457446119,399231,,3,2014,Former ELL,6003,301,1789,29.8,2483,41.4,1593,26.5,138,2.3,1731,28.8
45,4F839254-7352-4D8D-AE04-109BADB220B6,45,1457446119,399231,1457446119,399231,,3,2015,Former ELL,5687,306,1429,25.1,2441,42.9,1615,28.4,202,3.6,1817,32
46,A6A15EB4-D359-4CCA-8CD2-2E6CC336BF64,46,1457446119,399231,1457446119,399231,,4,2013,Former ELL,3684,307,641,17.4,1932,52.4,882,23.9,229,6.2,1111,30.2
47,EC1AA051-7B29-4EB1-B895-E172A6E64175,47,1457446119,399231,1457446119,399231,,4,2014,Former ELL,3114,308,497,16,1495,48,830,26.7,292,9.4,1122,36
