Doc_ID,Category,Description
0,Education,Student Discipline Annual Report - GRADE LEVEL
1,Health,The most popular baby names by sex and mother's ethnicity in New York City.
2,Housing & Development,Priority codes assigned to applicants by NYCHA
3,Education,K8 Class Size Report - Aggregated by Borough
4,Education,Missing
5,Education,Missing
6,Housing & Development,"List of capital projects with managing organization, phase status and project costs."
7,Social Services,"The dataset contains informaton on organizations and programs that responded to an annual e-mail from the Mayor's Office to Combat Domesitc Violence and indicated that they provide domestic violence related servcies in New York City. The dataset provides the following informaton: telephone number, fax number, hotline number, hours of operation, website, borough served, specific neoghborhood served, languages services provided in, location wheel chair accessible, any fees for services and specific services provided."
8,Public Safety,"Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009"
9,City Government,"This dataset contains capital commitment plan data by project type, budget line and source of funds.  The dollar values are in thousands.  The dataset is updated three times per year in Preliminary, Executive and Adopted Budget to match commitment numbers in the Capital Commitment Plan publication."
10,Social Services,A map of proposed new LinkNYC kiosk sites submitted by CityBridge currently under review by the Department of Information Technology and Telecommunications.
11,City Government,Demographic statistics broken down by assembly districts
12,Social Services,"This dataset provides benefit, program, and resource information for over 40 health and human services available to NYC residents. The data is kept up-to-date, including the most recent applications, eligibility requirements, and application dates. Information in this dataset is used on <a href=""http://access.nyc.gov"">ACCESS NYC</a> and <a href=""http://www.nyc.gov/growingupnyc"">Growing Up NYC</a>."
13,Education,Missing
14,Transportation,"This dataset includes trip records from all trips completed in green taxis in NYC in 2014.  Records include fields capturing pick-up and drop-off dates/times, pick-up and drop-off locations, trip distances, itemized fares, rate types, payment types, and driver-reported passenger counts. The data used in the attached datasets were collected and provided to the NYC Taxi and Limousine Commission (TLC) by technology providers authorized under the Livery Passenger Enhancement Program (LPEP).  The  trip data was not created by the TLC, and TLC makes no representations as to the accuracy of these data."
15,Education,Missing
16,City Government,"äó¢	Parking Violations Issued Fiscal Year 2018 can be found here https://data.cityofnewyork.us/d/pvqr-7yc4äó¢	Parking Violations Issued Fiscal Year 2016 can be found in the archived dataset here https://data.cityofnewyork.us/d/kiv2-tbusäó¢	Parking Violations Issued Fiscal Year 2015 can be found in the archived dataset here https://data.cityofnewyork.us/d/c284-tqphäó¢	Parking Violations Issued Fiscal Year 2014 can be found in the archived dataset here https://data.cityofnewyork.us/d/jt7v-77mi"
