Doc_ID,Category,Description,Columns
0,Education,Student Discipline Annual Report - GRADE LEVEL,"['DBN', 'LOCATION NAME', 'LOCATION CATEGORY', 'ADMINISTRATIVE DISTRICT', '0K REMOVALS', '0K PRINCIPAL', '0K SUPERINTENDENT', '0K EXPULSIONS', '01 REMOVALS', '01 PRINCIPAL', '01 SUPERINTENDENT', '01 EXPULSIONS', '02 REMOVALS', '02 PRINCIPAL', '02 SUPERINTENDENT', '02 EXPULSIONS', '03 REMOVALS', '03 PRINCIPAL', '03 SUPERINTENDENT', '03 EXPULSIONS', '04 REMOVALS', '04 PRINCIPAL', '04 SUPERINTENDENT', '04 EXPULSIONS', '05 REMOVALS', '05 PRINCIPAL', '05 SUPERINTENDENT', '05 EXPULSIONS', '06 REMOVALS', '06 PRINCIPAL', '06 SUPERINTENDENT', '06 EXPULSIONS', '07 REMOVALS', '07 PRINCIPAL', '07 SUPERINTENDENT', '07 EXPULSIONS', '08 REMOVALS', '08 PRINCIPAL', '08 SUPERINTENDENT', '08 EXPULSIONS', '09 REMOVALS', '09 PRINCIPAL', '09 SUPERINTENDENT', '09 EXPULSIONS', '10 REMOVALS', '10 PRINCIPAL', '10 SUPERINTENDENT', '10 EXPULSIONS', '11 REMOVALS', '11 PRINCIPAL', '11 SUPERINTENDENT', '11 EXPULSIONS', '12 REMOVALS', '12 PRINCIPAL', '12 SUPERINTENDENT', '12 EXPULSIONS']"
1,Health,The most popular baby names by sex and mother's ethnicity in New York City.,"['Year of Birth', 'Gender', 'Ethnicity', ""Child's First Name"", 'Count', 'Rank']"
2,Housing & Development,Priority codes assigned to applicants by NYCHA,"['Priority Code', 'Title', 'Description']"
3,Education,K8 Class Size Report - Aggregated by Borough,"['Borough', 'Grade Level', 'Program Type', 'Number of Students', 'Number of Classes', 'Average Class Size']"
4,Education,Missing,"['Grade', 'Year', 'Category', 'Number Tested', 'Mean Scale Score', 'Level1_N', 'Level1_%', 'Level2_N', 'Level2_%', 'Level3_N', 'Level3_%', 'Level4_N', 'Level4_%', 'Level3+4_N', 'Level3+4_%']"
5,Education,Missing,"['Grade', 'Year', 'Category', 'Number Tested', 'Mean Scale Score', 'Level1_N', 'Level1_%', 'Level2_N', 'Level2_%', 'Level3_N', 'Level3_%', 'Level4_N', 'Level4_%', 'Level3+4_N', 'Level3+4_%']"
6,Housing & Development,"List of capital projects with managing organization, phase status and project costs.","['Project Geographic District ', 'Project Building Identifier', 'Project School Name', 'Project Type ', 'Project Description', 'Project Phase Name', 'Project Status Name', 'Project Phase Actual Start Date', 'Project Phase Planned End Date', 'Project Phase Actual End Date', 'Project Budget Amount', 'Final Estimate of Actual Costs Through End of Phase Amount', 'Total Phase Actual Spending Amount', 'DSF Number(s)']"
7,Social Services,"The dataset contains informaton on organizations and programs that responded to an annual e-mail from the Mayor's Office to Combat Domesitc Violence and indicated that they provide domestic violence related servcies in New York City. The dataset provides the following informaton: telephone number, fax number, hotline number, hours of operation, website, borough served, specific neoghborhood served, languages services provided in, location wheel chair accessible, any fees for services and specific services provided.","['Organization Name', 'Program Name', 'Phone Number', 'Fax Number', 'TTY Number ', 'Hotline Number', 'Hotline Hours of Operation', 'Website', 'Borough Served Brooklyn ', 'Borough Served Bronx ', 'Borough Served Manhattan ', 'Borough Served Queens ', 'Borough Served Staten Island ', 'Borough Served Citywide ', 'Catchment Area', 'Language English ', 'Language Spanish', 'Language Chinese', 'Language Bengali ', 'Language Polish ', 'Language French ', 'Language Arabic ', 'Language Haitian Creole ', 'Language Korean ', 'Language Albanian ', 'Language Russian ', 'Language Hindi', 'Language Urdu', 'Language African Languages ', 'Language American Sign ', 'Language Other ', 'Wheelchair Accessible', 'Fee Services', 'Specialize Survivors of Sexual Assault and Domestic Violence', 'Specialize Child Witness to Domestic Violence ', 'Specialize HIV/AIDS', 'Specialize LGBTQ', 'Specialize Male Survivors', 'Specialize New Immigrants', 'Specialize People Seeking Asylum', 'Specialize Substance Abuse Services', 'Specialize Trafficking Victim Services', 'Specialize Elder Abuse Services', 'Specialize Services Stalking Victims ', 'Specialize Services Teen Dating Violence Victims ', 'Specialize Services People Disabilities ', 'Specialize Batterers', 'Specialize Children at Risk ', 'Specialized Teenagers', 'Specialize Other', 'Service Community Education', 'Service Court/Police Accompaniment', 'Service Crisis Counseling', 'Service General Domestic Violence', 'Service Elder Abuse', 'Service ESL Classes', 'Service Emergency Assistance/Transportation', 'Service Healing Arts Theater Programs', 'Service Health Services', 'Service HIV/AIDS', 'Service Job Training', 'Service Sexual Assault Victim Services', 'Service Long Term Counseling', 'Service Lock Replacement', 'Service Play Therapy', 'Service Public Assistance', 'Service Referrals', 'Service Shelter Assistance ', 'Service Housing Assistance ', 'Service Stalking Victim Services ', 'Service Teen Dating Violence Victim Services', 'Service Trafficking Victim Services', 'Service Other ']"
8,Public Safety,"Civilian Complaint Review Board (CCRB) complaint activity data, 2005-2009","['Manhattan North', '2005', '2006', '2007', '2008', '2009', 'Total']"
9,City Government,"This dataset contains capital commitment plan data by project type, budget line and source of funds.  The dollar values are in thousands.  The dataset is updated three times per year in Preliminary, Executive and Adopted Budget to match commitment numbers in the Capital Commitment Plan publication.","['Published Date', 'Project Type', 'Project Type Description', 'Budget Line', 'Budget Line Description', 'Funding Type', 'Number of Years Presented', 'First Fiscal Year', 'Fiscal Year 1 Amount', 'Fiscal Year 2 Amount', 'Fiscal Year 3 Amount', 'Fiscal Year 4 Amount', 'Fiscal Year 5 Amount']"
10,Social Services,A map of proposed new LinkNYC kiosk sites submitted by CityBridge currently under review by the Department of Information Technology and Telecommunications.,"['GF Application Submitted to DoITT (A)', 'CBL Link ID', 'Latitude', 'Longitude', 'Borough', 'Council District', 'Zoning', 'Community Board', 'Street Address', 'Cross_Street 1', 'Postcode', 'Cross_Street 2', 'Link In Historic District', 'Site in Business Improvement District (BID)?', 'NTA', 'BID', 'GF Permit_Appl_Id', 'BIN', 'BBL', 'Census Tract', 'Location 1']"
11,City Government,Demographic statistics broken down by assembly districts,"['JURISDICTION NAME', 'COUNT PARTICIPANTS', 'COUNT FEMALE', 'PERCENT FEMALE', 'COUNT MALE', 'PERCENT MALE', 'COUNT GENDER UNKNOWN', 'PERCENT GENDER UNKNOWN', 'COUNT GENDER TOTAL', 'PERCENT GENDER TOTAL', 'COUNT PACIFIC ISLANDER', 'PERCENT PACIFIC ISLANDER', 'COUNT HISPANIC LATINO', 'PERCENT HISPANIC LATINO', 'COUNT AMERICAN INDIAN', 'PERCENT AMERICAN INDIAN', 'COUNT ASIAN NON HISPANIC', 'PERCENT ASIAN NON HISPANIC', 'COUNT WHITE NON HISPANIC', 'PERCENT WHITE NON HISPANIC', 'COUNT BLACK NON HISPANIC', 'PERCENT BLACK NON HISPANIC', 'COUNT OTHER ETHNICITY', 'PERCENT OTHER ETHNICITY', 'COUNT ETHNICITY UNKNOWN', 'PERCENT ETHNICITY UNKNOWN', 'COUNT ETHNICITY TOTAL', 'PERCENT ETHNICITY TOTAL', 'COUNT PERMANENT RESIDENT ALIEN', 'PERCENT PERMANENT RESIDENT ALIEN', 'COUNT US CITIZEN', 'PERCENT US CITIZEN', 'COUNT OTHER CITIZEN STATUS', 'PERCENT OTHER CITIZEN STATUS', 'COUNT CITIZEN STATUS UNKNOWN', 'PERCENT CITIZEN STATUS UNKNOWN', 'COUNT CITIZEN STATUS TOTAL', 'PERCENT CITIZEN STATUS TOTAL', 'COUNT RECEIVES PUBLIC ASSISTANCE', 'PERCENT RECEIVES PUBLIC ASSISTANCE', 'COUNT NRECEIVES PUBLIC ASSISTANCE', 'PERCENT NRECEIVES PUBLIC ASSISTANCE', 'COUNT PUBLIC ASSISTANCE UNKNOWN', 'PERCENT PUBLIC ASSISTANCE UNKNOWN', 'COUNT PUBLIC ASSISTANCE TOTAL', 'PERCENT PUBLIC ASSISTANCE TOTAL']"
