manhattan	25	(9,8,7,6,46,39,38,37,35,34,30,3,29,26,23,22,20,19,18,17,16,13,12,10,0)
new	23	(9,7,6,46,39,38,37,35,34,30,29,26,24,23,22,21,2,19,18,16,13,12,0)
island	23	(9,7,6,46,39,38,37,35,34,30,29,26,23,22,2,19,18,17,16,13,12,10,0)
brooklyn	23	(9,7,6,46,39,38,37,35,34,30,3,29,26,23,19,18,17,16,13,12,10,1,0)
queens	23	(9,7,6,46,39,38,37,35,34,33,30,3,29,26,23,19,18,17,16,13,12,10,0)
city	22	(9,7,6,46,39,38,37,36,35,34,30,29,23,2,19,18,17,16,13,12,10,0)
bronx	22	(9,7,6,46,39,38,37,35,34,30,3,29,26,23,19,18,17,16,13,12,10,0)
park	21	(9,8,7,6,46,39,38,37,35,34,30,29,23,22,19,18,16,13,12,10,0)
staten	21	(9,7,6,46,39,38,37,35,34,30,3,26,23,2,19,18,17,16,13,12,0)
york	21	(9,7,6,46,39,38,37,35,34,30,29,24,23,22,2,19,18,16,13,12,0)
health	21	(9,7,6,46,41,39,38,37,35,34,30,29,28,23,2,18,17,16,13,12,0)
center	20	(9,7,6,46,39,38,37,35,34,30,26,23,22,19,18,16,13,12,10,0)
street	20	(9,6,46,39,38,37,35,34,30,29,26,23,22,19,18,16,13,12,10,0)
central	20	(9,8,7,6,46,41,39,38,37,35,34,30,29,23,19,18,16,13,10,0)
college	20	(9,6,46,39,38,37,35,34,33,30,29,23,22,19,18,16,13,12,10,0)
community	20	(9,7,6,46,39,38,37,35,34,30,29,26,23,22,19,18,17,13,12,0)
state	20	(9,46,39,38,37,36,35,34,30,24,23,21,19,18,16,13,12,11,10,0)
south	20	(9,7,6,46,39,38,37,35,34,30,29,23,22,19,18,16,13,12,10,0)
american	20	(9,7,6,46,39,38,37,35,34,30,29,24,23,22,19,18,16,13,12,0)
point	19	(9,7,46,39,38,37,35,34,33,30,23,22,19,18,16,13,12,10,0)
service	19	(9,6,46,39,38,37,35,34,30,29,24,23,19,18,17,16,13,12,0)
east	19	(9,6,46,39,38,37,35,34,33,30,29,23,19,18,16,13,12,10,0)
white	19	(46,40,39,38,37,35,34,30,29,25,23,22,20,19,18,16,13,1,0)
avenue	19	(9,6,46,39,38,35,34,33,30,29,26,24,23,19,18,16,13,10,0)
school	19	(9,6,46,39,38,37,35,34,30,24,23,21,20,19,18,16,13,12,0)
medical	18	(9,7,6,43,39,38,37,35,34,30,28,23,19,18,16,13,12,0)
flushing	18	(9,7,6,46,39,38,35,34,33,30,29,23,19,18,16,13,10,0)
ocean	18	(9,6,46,39,38,35,34,30,29,23,22,19,18,16,13,12,10,0)
